antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,Line_X,Line_Y,dummy
Onions,Bread,0.1503267973856209,0.1503267973856209,0.0392156862745098,0.2608695652173913,1.735349716446125,0.01661754026229228,1.1495578623606306,0.4987179487179487,T-79,16,240,1
Bread,Onions,0.1503267973856209,0.1503267973856209,0.0392156862745098,0.2608695652173913,1.735349716446125,0.01661754026229228,1.1495578623606306,0.4987179487179487,T-79,9,86,1
Oranges,Bread,0.1895424836601307,0.1503267973856209,0.058823529411764705,0.3103448275862069,2.0644677661169415,0.030330214874620873,1.2320261437908495,0.6362007168458782,T-177,48,246,1
Bread,Oranges,0.1503267973856209,0.1895424836601307,0.058823529411764705,0.391304347826087,2.0644677661169415,0.030330214874620873,1.3314659197012138,0.6068376068376069,T-177,9,86,1
Pasta,Bread,0.1503267973856209,0.1503267973856209,0.0392156862745098,0.2608695652173913,1.735349716446125,0.01661754026229228,1.1495578623606306,0.4987179487179487,T-47,18,253,1
Bread,Pasta,0.1503267973856209,0.1503267973856209,0.0392156862745098,0.2608695652173913,1.735349716446125,0.01661754026229228,1.1495578623606306,0.4987179487179487,T-47,9,86,1
Bread,Potatoes,0.1503267973856209,0.17647058823529413,0.058823529411764705,0.391304347826087,2.217391304347826,0.03229527104959631,1.352941176470588,0.6461538461538462,T-41,9,86,1
Potatoes,Bread,0.17647058823529413,0.1503267973856209,0.058823529411764705,0.3333333333333333,2.217391304347826,0.03229527104959631,1.2745098039215685,0.6666666666666666,T-41,21,262,1
Sugar,Bread,0.16993464052287582,0.1503267973856209,0.032679738562091505,0.19230769230769232,1.279264214046823,0.0071340082874108285,1.051976346093993,0.2629921259842521,T-71,23,268,1
Bread,Sugar,0.1503267973856209,0.16993464052287582,0.032679738562091505,0.2173913043478261,1.279264214046823,0.0071340082874108285,1.060639070442992,0.25692307692307703,T-71,9,86,1
Bread,Tea,0.1503267973856209,0.1503267973856209,0.032679738562091505,0.2173913043478261,1.4461247637051042,0.010081592549873983,1.0856935366739289,0.3630769230769232,T-132,9,86,1
Tea,Bread,0.1503267973856209,0.1503267973856209,0.032679738562091505,0.2173913043478261,1.4461247637051042,0.010081592549873983,1.0856935366739289,0.3630769230769232,T-132,25,270,1
Tomatoes,Bread,0.17647058823529413,0.1503267973856209,0.032679738562091505,0.18518518518518517,1.2318840579710144,0.006151480199923107,1.0427807486631016,0.2285714285714286,T-72,26,272,1
Bread,Tomatoes,0.1503267973856209,0.17647058823529413,0.032679738562091505,0.2173913043478261,1.2318840579710146,0.006151480199923107,1.0522875816993464,0.22153846153846152,T-72,9,86,1
Yogurt,Bread,0.16993464052287582,0.1503267973856209,0.0392156862745098,0.23076923076923075,1.5351170568561872,0.013669955999829127,1.1045751633986927,0.41994750656167984,T-28,28,271,1
Bread,Yogurt,0.1503267973856209,0.16993464052287582,0.0392156862745098,0.2608695652173913,1.5351170568561872,0.013669955999829127,1.1230296039984622,0.4102564102564103,T-28,9,86,1
Cereal,Butter,0.20261437908496732,0.16339869281045752,0.0457516339869281,0.22580645161290322,1.3819354838709677,0.01264470929984194,1.0806100217864925,0.34660421545667447,T-125,34,129,1
Butter,Cereal,0.16339869281045752,0.20261437908496732,0.0457516339869281,0.27999999999999997,1.3819354838709677,0.01264470929984194,1.1074800290486566,0.3303571428571428,T-125,33,108,1
Cheese,Butter,0.1830065359477124,0.16339869281045752,0.0392156862745098,0.2142857142857143,1.3114285714285716,0.009312657524883593,1.0647653000594177,0.29066666666666674,T-1,10,151,1
Butter,Cheese,0.16339869281045752,0.1830065359477124,0.0392156862745098,0.24,1.3114285714285714,0.009312657524883593,1.0749914000687995,0.28385416666666674,T-1,33,108,1
Chicken,Butter,0.13071895424836602,0.16339869281045752,0.0457516339869281,0.35,2.142,0.02439232773719509,1.2870789341377578,0.6133190118152523,T-61,13,166,1
Butter,Chicken,0.16339869281045752,0.13071895424836602,0.0457516339869281,0.27999999999999997,2.1419999999999995,0.02439232773719509,1.2073347857661585,0.6372767857142856,T-61,33,108,1
Eggs,Butter,0.17647058823529413,0.16339869281045752,0.05228758169934641,0.2962962962962963,1.8133333333333332,0.02345251826220684,1.1888544891640866,0.5446428571428571,T-156,40,197,1
Butter,Eggs,0.16339869281045752,0.17647058823529413,0.05228758169934641,0.32,1.8133333333333332,0.02345251826220684,1.2110726643598617,0.5361328124999999,T-156,33,108,1
Juice,Butter,0.1503267973856209,0.16339869281045752,0.05228758169934641,0.3478260869565218,2.128695652173913,0.02772437951215345,1.282788671023965,0.6240384615384615,T-104,42,214,1
Butter,Juice,0.16339869281045752,0.1503267973856209,0.05228758169934641,0.32,2.128695652173913,0.02772437951215345,1.2495194156093812,0.6337890625,T-104,33,108,1
